SYMBOL;SERIES;OPEN;HIGH;LOW;CLOSE;LAST;PREVCLOSE;TOTTRDQTY;TOTTRDVAL;TIMESTAMP;TOTALTRADES;ISIN
MCDOWELL-N;EQ;584;595.8;577.8;586.15;587.55;582.25;2493024;1460546907;06-JAN-2021;45100;INE854D01024
MCL;BE;98.9;100.5;96.3;98;98;98.95;5981;588019.95;06-JAN-2021;79;INE813V01022
MCLEODRUSS;EQ;23.3;23.3;22.2;22.45;22.35;22.8;274116;6244076.7;06-JAN-2021;828;INE942G01012
MCX;EQ;1773;1782.5;1710;1739.8;1749;1768.35;172471;301369419.7;06-JAN-2021;11961;INE745G01035
MEGASOFT;EQ;13.4;13.6;12.4;12.4;12.4;13.05;503222;6386620.6;06-JAN-2021;1273;INE933B01012
MEGH;EQ;87.1;87.95;82.5;83.4;83.6;86.2;1982648;169853329.2;06-JAN-2021;11782;INE974H01013
MELSTAR;BZ;2.65;2.65;2.65;2.65;2.65;2.55;2524;6688.6;06-JAN-2021;6;INE817A01019
MENONBE;BE;51.2;53.45;51.2;53.4;53.45;50.95;126482;6701780.75;06-JAN-2021;616;INE071D01033
MEP;EQ;19.45;19.5;17.7;18.4;18.6;19.1;456513;8531764.2;06-JAN-2021;1147;INE776I01010
MERCATOR;BE;1.25;1.25;1.2;1.25;1.25;1.2;1524650;1904622.2;06-JAN-2021;539;INE934B01028
METALFORGE;BE;6.45;6.45;6.25;6.45;6.45;6.15;29070;186786.15;06-JAN-2021;96;INE425A01011
METKORE;BZ;0.8;0.85;0.75;0.85;0.85;0.8;49421;40108.55;06-JAN-2021;65;INE592I01029
METROPOLIS;EQ;2112;2149;2063;2086.6;2079;2102.25;114242;238598455.6;06-JAN-2021;17697;INE112L01020
MFSL;EQ;707.55;716.5;697.2;709.4;709.35;701.5;1966993;1393084038.4;06-JAN-2021;33102;INE180A01020
MGEL;EQ;49.35;49.4;45.35;45.65;46.35;47.55;4843;225420.45;06-JAN-2021;101;INE0APB01016
MGL;EQ;1109.9;1132.7;1100;1129.5;1131.9;1096.45;1462556;1635096265.7;06-JAN-2021;37873;INE002S01010
MHHL;SM;23.6;23.6;22.75;23.2;22.9;22.5;24000;559200;06-JAN-2021;8;INE450S01011
MHRIL;EQ;213.65;221.95;213;217.15;217.3;212.55;255854;55585875.55;06-JAN-2021;4940;INE998I01010
MIC;BZ;1.25;1.25;1.15;1.15;1.15;1.2;98507;116698.35;06-JAN-2021;70;INE287C01029
MIDHANI;EQ;202.4;203.9;198.75;200.1;199.65;202.5;426910;85922941.3;06-JAN-2021;6237;INE099Z01011
MINDACORP;EQ;95.45;98.5;93.2;94.65;94.5;95.05;1860021;179041620.65;06-JAN-2021;10806;INE842C01021
MINDAIND;EQ;409.95;412;390.3;395.95;396;407.55;143681;57803085.75;06-JAN-2021;5147;INE405E01023
MINDSPACE;RR;338.84;339.1;335;335.73;336;338.84;142600;48142214;06-JAN-2021;113;INE0CCU25019
MINDTECK;EQ;54.2;55.9;51.75;52.6;52;54.45;46757;2479204.3;06-JAN-2021;596;INE110B01017
MINDTREE;EQ;1720;1724;1668;1694.85;1694.95;1713.8;842883;1435785085.3;06-JAN-2021;35365;INE018I01017
MIRCELECTR;BE;14.15;14.15;13.8;14.15;14.15;13.5;922335;13030968.25;06-JAN-2021;1093;INE831A01028
MIRZAINT;EQ;56.3;58.85;56.3;57.1;57.15;56.45;1018734;58682750.55;06-JAN-2021;5706;INE771A01026
MITTAL;EQ;13.65;13.65;13.65;13.65;13.65;13;69610;950176.5;06-JAN-2021;217;INE997Y01019
MMFL;EQ;435;440;414.05;424.95;426.85;426.4;23048;9890479.6;06-JAN-2021;858;INE227C01017
MMP;EQ;85;89.7;84.15;85.05;85;83.75;34381;2965035.7;06-JAN-2021;406;INE511Y01018
MMTC;EQ;30.2;30.7;28.8;29.4;29.4;30.2;4351168;129766443.8;06-JAN-2021;11487;INE123F01029
MODIRUBBER;BE;34.55;36.25;34.55;34.55;34.55;34.55;566;20111.9;06-JAN-2021;16;INE832A01018
MOHITIND;BE;6;6;6;6;6;6.25;200;1200;06-JAN-2021;4;INE954E01012
MOHOTAIND;EQ;13.2;13.2;12.15;12.45;12.5;13.15;219974;2786687.65;06-JAN-2021;736;INE313D01013
MOIL;EQ;150.5;154.4;149.45;151.55;151.5;149.8;1148328;174716949.15;06-JAN-2021;14138;INE490G01020
MOLDTECH;BE;52.75;54;50.1;50.7;51.95;51.45;66756;3406461.45;06-JAN-2021;239;INE835B01035
MOLDTEKPP;E1;145.15;173.9;145.15;170.6;173.75;144.95;9610;1606089.4;06-JAN-2021;263;IN9893J01019
MOLDTKPAC;EQ;289;337;285.65;319.5;319;284.8;487974;156304057.35;06-JAN-2021;13247;INE893J01029
MOLDTKPAC;W1;145;173.9;145;173;173;145;1866;305625.35;06-JAN-2021;31;INE893J13016
MONTECARLO;EQ;254.8;256.4;248.75;250.2;250;251.65;50514;12717940.3;06-JAN-2021;2283;INE950M01013
MORARJEE;BE;13.8;14.35;13.8;14.05;14.15;13.95;14077;197480.15;06-JAN-2021;49;INE161G01027
MOREPENLAB;EQ;30.2;31.1;29.75;29.9;29.85;30.05;2806388;85087735.85;06-JAN-2021;5596;INE083A01026
MOTHERSUMI;EQ;168.25;170.35;163.8;166.4;166.45;168.25;8255109;1380940268.05;06-JAN-2021;40330;INE775A01035
MOTILALOFS;EQ;613;614.9;598.55;600.75;600.7;611.45;152360;92038020.5;06-JAN-2021;7998;INE338I01027
MOTOGENFIN;BE;21.9;21.9;20.25;21.5;21.5;21.1;1709;36281.55;06-JAN-2021;33;INE861B01023
MPHASIS;EQ;1595.55;1697.4;1586;1615.75;1627;1581.65;973000;1601161448.8;06-JAN-2021;52815;INE356A01018
MPSLTD;EQ;374;374;363;364.95;366.35;368;7640;2799106.2;06-JAN-2021;545;INE943D01017
MRF;EQ;79053;79800;77619.2;78752.25;78410.6;79053;30427;2401768537;06-JAN-2021;16271;INE883A01011
MRPL;EQ;39.85;40.3;38.35;39.25;39.25;39.5;6525603;258009810.55;06-JAN-2021;19638;INE103A01014
MSPL;EQ;7.5;7.7;7;7.05;7.2;7.35;455843;3306864.45;06-JAN-2021;764;INE752G01015
MSTCLTD;EQ;173.5;191;171.55;183.8;182.5;171.55;2235295;410754665.25;06-JAN-2021;27864;INE255X01014
MTEDUCARE;EQ;9.35;9.35;9;9.15;9.15;9.2;573402;5224593.25;06-JAN-2021;1192;INE472M01018
MTNL;EQ;13.65;15.25;13.6;14.7;14.7;13.55;15302326;224814656;06-JAN-2021;18412;INE153A01019
MUKANDENGG;EQ;14.05;14.75;14;14.75;14.75;14.05;20092;295562.35;06-JAN-2021;100;INE022B01014
MUKANDLTD;EQ;71.5;76;70.5;75;75.5;69.35;1459715;109200086.95;06-JAN-2021;7807;INE304A01026
MUKANDLTD;P1;6;7.2;5.9;5.95;5.95;6;4495;26905.85;06-JAN-2021;18;INE304A04012
MUKTAARTS;EQ;33.15;33.6;32.55;33.1;32.85;33.15;22792;753832.35;06-JAN-2021;257;INE374B01019
MUNJALAU;EQ;61.35;63;60.25;61.05;60.75;61.05;658751;40830808.7;06-JAN-2021;4355;INE672B01032
MUNJALSHOW;EQ;143.85;145.5;140.1;141.25;141.8;142.3;52614;7509966.4;06-JAN-2021;982;INE577A01027
MURUDCERA;EQ;22.65;22.85;21.7;22;22.15;22.7;207644;4622950.85;06-JAN-2021;1092;INE692B01014
MUTHOOTCAP;EQ;414;414;404.45;408.2;408.85;408;27872;11402173.65;06-JAN-2021;1367;INE296G01013
